"","DLDR_0058","DLDR_0107","DLDR_0072","DLDR_0085","DLDR_0120","DLDR_0176","DLDR_0117","DLDR_0132","DLDR_0016","DLDR_0127","DLDR_0135","DLDR_0034","DLDR_0071","DLDR_0153","DLDR_0133","DLDR_0180","DLDR_0121","DLDR_0003","DLDR_0062","DLDR_0019","DLDR_0039","DLDR_0139","DLDR_0162","DLDR_0027","DLDR_0159","DLDR_0011","DLDR_0026","DLDR_0164","DLDR_0014","DLDR_0168","DLDR_0129","DLDR_0059","DLDR_0158","DLDR_0065","DLDR_0136","DLDR_0122","DLDR_0053","DLDR_0035","DLDR_0079","DLDR_0049","DLDR_0057","DLDR_0183","DLDR_0174","DLDR_0137","DLDR_0070","DLDR_0116","DLDR_0190","DLDR_0029","DLDR_0008","DLDR_0004","DLDR_0033","DLDR_0038","DLDR_0142","DLDR_0043","DLDR_0024","DLDR_0102","DLDR_0092","DLDR_0140","DLDR_0150","DLDR_0055","DLDR_0088","DLDR_0151","DLDR_0101","DLDR_0179","DLDR_0143","DLDR_0095","DLDR_0156","DLDR_0032","DLDR_0182","DLDR_0064","DLDR_0094","DLDR_0046","DLDR_0109","DLDR_0106","DLDR_0030","DLDR_0110","DLDR_0123","DLDR_0171","DLDR_0105","DLDR_0061","DLDR_0084","DLDR_0175","DLDR_0126","DLDR_0146","DLDR_0145","DLDR_0001","DLDR_0154","DLDR_0166","DLDR_0089","DLDR_0078","DLDR_0013","DLDR_0124","DLDR_0042","DLDR_0114","DLDR_0096","DLDR_0012","DLDR_0115","DLDR_0076","DLDR_0002","DLDR_0097","DLDR_0178","DLDR_0006","DLDR_0155","DLDR_0023","DLDR_0020","DLDR_0100","DLDR_0022","DLDR_0161","DLDR_0074","DLDR_0018","DLDR_0170","DLDR_0063","DLDR_0028","DLDR_0048","DLDR_0080","DLDR_0040","DLDR_0187","DLDR_0021","DLDR_0189","DLDR_0141","DLDR_0131","DLDR_0108","DLDR_0060","DLDR_0177","DLDR_0056","DLDR_0191","DLDR_0152","DLDR_0192","DLDR_0181","DLDR_0069","DLDR_0169","DLDR_0186","DLDR_0036","DLDR_0130"
"10",4.72359972,5.079203983,4.001278649,4.613375849,4.419385478,4.949099714,4.980475061,4.964686182,4.603125606,5.11872906,4.993776813,4.256458824,4.177530238,5.007831979,4.819226537,4.764021795,5.035526264,3.736946596,4.568031879,4.265587356,4.859904111,4.727242392,5.070480892,4.16027764,5.014400251,4.746892,4.358559705,4.822362114,4.367091975,5.205189779,5.369235723,4.468022079,4.82048689,4.374253174,5.050900772,5.0556719,4.590612122,4.115266632,4.752957491,3.980361322,4.474404665,4.803740873,5.229721746,4.826225105,4.016256229,5.001107331,4.528530219,4.134322284,4.029026457,4.003661131,3.971405203,4.61495365,5.191495066,4.757206872,4.067194764,5.006909221,4.900754473,4.542922374,5.013661598,4.768103474,4.932186688,5.298613084,4.357537236,5.058062111,5.004820678,4.895231145,5.140886194,4.047446919,5.002453548,4.299350351,5.224763835,4.8057835,4.978571461,5.126014402,4.379289012,4.844454278,4.884621563,5.011921284,4.915287473,4.558610473,4.881950649,4.853565095,5.308317517,5.067053049,5.016416852,4.221449898,5.140786972,5.1854324,5.090294178,4.649774664,4.299077673,4.640498132,4.606133836,4.506281357,5.129208206,4.111863631,4.61252922,4.86496263,4.218182599,5.072728559,4.890597757,4.437957567,5.23477622,4.246910339,4.384061989,4.191097426,3.967030725,4.984534766,4.857112719,4.313823986,5.219460362,3.797817,4.336509918,4.428337363,5.129777967,4.735648498,4.923086552,4.19905339,4.627703011,5.051168509,5.409513943,5.084326903,4.498462715,5.206452161,4.587932849,5.013153948,5.452265097,4.778544147,4.609277623,4.192501783,4.855959904,5.004499904,4.589554591,4.655816772
"57",-1.757112819,-0.709630851,0.018073892,0.500423033,0.117797831,-1.006647048,-0.671437684,0.664880898,0.00278788,-0.818749855,-2.10425527,0.031206749,-1.11279586,-1.367207452,-1.186693434,-0.376211522,-0.717788818,0.015185874,-0.292961006,0.191952369,-1.22614363,-1.975969076,-1.769422724,0.395316416,0.009167402,-0.246652978,-0.332281209,0.036777814,-0.199458489,-0.806897503,-0.378603915,-1.897505043,-2.054801708,0.390528714,-2.021837973,-0.989872236,-1.084270964,0.1593477,-1.138550072,-1.148921695,-0.228252878,-1.815867771,-1.047248567,-2.412179635,-0.479772543,-0.067207668,-1.349660065,-0.558168681,-0.277134322,-0.178863907,0.537584228,-2.816335004,-3.272029308,0.68525703,0.649507686,0.028103443,0.317258871,-2.105734802,-1.636737438,-0.227792128,1.767090795,-1.266897054,0.469383203,-1.346471262,-1.303012587,0.018120211,-2.086007619,0.450896444,-1.103280395,-0.910103015,0.015310469,-0.17737299,-0.378980544,-1.242690463,0.809063054,-0.219549591,-0.769584815,-2.395771365,-0.186250553,-0.539058439,0.205489794,-2.285986257,-1.803687509,-4.261621878,-1.883242175,-0.005377495,-0.915329632,-1.954118953,-0.631564524,-0.559678701,-0.00646928,-1.542121943,-0.721477898,-1.02353959,-1.071865494,0.884794723,-1.011211608,0.126610496,0.787391028,-0.056554458,-0.807706217,0.920810451,-3.580073239,-0.168904266,0.078515036,0.161350083,0.177377805,0.189670788,-0.138517681,0.530447927,-1.908349765,0.39714579,-0.628595291,-0.028663429,0.20934084,-0.912756393,-0.75739856,-0.71066325,-1.732360213,-4.286453393,-4.060127874,0.130130593,0.020652567,-0.65979645,-0.053356267,-1.154542952,-2.799048232,-0.671211412,0.521814782,0.146783483,-0.295887719,-3.486016745,-0.71902395,-0.289487708
"150",2.04229335,0.107505092,2.443095479,0.813580918,0.75934386,1.827929343,1.555070846,0.533636365,2.594604051,0.897457179,1.128405487,2.17113701,2.715023165,1.44014747,1.435743772,2.4311434,1.824104961,2.478842078,2.063524311,2.529393463,0.933054965,0.831385846,1.503595771,2.701562889,1.324369633,2.691946478,2.686254743,1.457620935,2.310402557,1.558751969,0.988178416,1.67648634,1.237980041,2.636507956,1.236896296,0.543559964,2.557074007,2.623628719,1.844961805,1.421826947,2.835250064,2.002891915,1.424057152,1.21231123,3.089422642,1.341597877,1.698702957,2.565213735,2.379212812,2.671240662,2.478205681,1.201586904,-0.102104306,2.180021722,2.764984903,1.250495865,1.467501507,3.077487022,1.379564375,1.927486098,1.723035615,1.598173366,1.705011452,1.728816866,1.676809531,1.603082712,1.373423999,2.507927389,0.967108932,2.594891181,0.304817086,1.293256835,0.919360731,0.252074229,2.951356937,1.426166941,1.062292426,1.758033971,0.299176274,1.37114489,1.790452295,1.620904338,1.794571815,2.680892627,1.984654289,2.93754141,0.741782654,1.304615316,0.285973316,1.64195516,2.219243499,1.47417987,1.744840106,0.952212864,0.978760579,2.554646121,3.224986613,0.674098291,3.045543213,-0.056554458,1.273213779,2.382916204,0.812244184,2.321842894,2.508023018,1.514987037,1.938766873,1.481436912,0.688645722,3.145912516,1.012215767,2.315718191,2.718570095,2.617328505,2.028314845,2.115440499,2.10767186,2.653085021,2.944100642,0.357402796,1.612297468,1.032833392,1.854191421,1.299561565,2.076842456,1.865356605,2.073076946,1.650716683,1.621350455,2.679818191,1.112917827,1.558377374,1.540843176,-0.158243174
"182",1.081606274,0.389904823,1.32927558,1.56455337,2.268357508,0.919352371,1.371206653,2.072056279,2.033376199,1.231876218,0.328704137,1.719262742,2.311230423,0.507261666,0.794197743,1.498257596,1.423567031,1.931354283,1.822516211,2.295381959,0.749608824,0.560083825,0.615241127,1.489643799,1.090697287,1.99038622,1.496238323,0.637170356,2.171797318,0.918927534,1.748508003,1.719878936,1.237980041,1.999944259,1.251180522,1.860232334,1.160351405,2.249950249,1.844961805,2.039739869,2.749942752,1.909024991,-0.114362763,0.526419821,2.309548456,1.644666945,0.320191334,1.619369505,1.91354924,1.63929777,2.212744537,1.491093521,-0.464674386,1.422222624,2.271703093,1.165606967,1.025796057,1.666854702,0.113284309,1.102853184,2.227508198,0.318065447,1.129896737,1.728816866,1.308422125,1.473314837,0.346951788,1.763486674,0.920566347,2.315317099,0.686687722,1.704571249,2.048190711,0.655429923,2.440195736,1.130034847,1.684591078,0.411583557,0.430420807,1.545475071,0.671153366,-1.549020663,0.155670507,1.846902578,0.042757244,2.336313855,0.428624769,0.282920245,1.690363571,1.205856045,1.482277905,0.975726362,1.297381129,2.08079707,0.875667087,2.180250606,2.254132958,1.980759629,2.085732303,0.428872369,1.720672756,1.572887148,-0.52117955,2.19228326,1.89250305,2.120708098,1.738689038,0.285886103,1.28232544,1.654436644,2.751900863,2.646924099,1.913298487,1.845805689,1.492647641,1.378474905,1.816068302,1.860085392,1.014873717,0.922999972,1.297424131,2.176424245,1.934922693,0.562595971,1.938606414,1.979312794,1.188012713,1.307414937,2.504536791,1.870573688,1.149912035,1.118845313,2.610477364,1.761138366
"275",2.149777777,1.006576183,2.340001986,2.25044478,2.462626328,0.814382811,1.903874647,2.023961991,1.992445935,1.530399708,0.528012946,1.784113887,1.694559062,1.135292888,2.016590164,1.498257596,1.027638355,1.906479614,2.450547434,1.249285544,1.581211292,0.345959019,1.855068141,2.241145486,2.233954338,1.700879602,2.193442089,1.652437112,2.534367398,1.902053715,1.304205909,2.158763177,1.456160211,2.203158578,0.504707842,1.901751603,1.793046517,2.370244483,2.031374929,2.039739869,2.139118188,2.002891915,1.515687628,0.646714054,1.654876983,2.458515629,1.633851812,1.94433166,2.187988409,2.287454097,2.059121348,1.236776333,0.815433534,1.79061003,1.797261306,1.902572561,1.902221372,2.375391887,1.533187564,2.21162953,2.973903205,1.480336876,2.570469328,1.272438571,1.409705461,1.130013091,0.721347303,1.763486674,1.932343514,2.141985496,0.617974972,1.912512514,2.858649317,1.275157842,2.245926916,2.831878648,1.380974861,0.897010384,1.7895019,1.700992648,1.541092826,1.083247552,1.401426921,1.02378034,1.286682827,2.467558388,1.492755106,1.777684937,1.926430929,2.162787323,1.934152173,2.117387511,2.306718994,2.776928947,0.64434154,1.844901995,1.265628597,2.901904209,2.147793271,1.708980289,1.557943256,2.151590658,1.374123072,2.028397175,1.838564243,2.546013933,2.254454028,1.671539796,2.220168964,1.620085139,1.474119872,2.199465122,2.178759631,1.984633393,2.520339375,1.525816621,1.838968704,1.860085392,1.568809322,1.644283944,2.048396583,1.756315756,2.219066126,2.278803005,2.367679973,1.50842206,0.502121303,2.360266819,3.530376795,2.021252601,1.255522222,1.643266272,1.662405156,1.467941989
"297",8.208338498,7.68901106,7.222826154,9.009298209,8.4184707,7.462316333,7.892788036,8.247554704,7.45352783,7.622415828,8.322219164,7.869009862,7.476418324,7.566483203,7.451647205,7.511719856,7.827516395,7.620127619,8.23498983,7.458992081,8.125973382,7.785914537,7.39408719,7.911442331,7.702005884,7.000822493,7.922991603,7.598527683,7.372706224,7.517456164,7.848441956,8.030407568,7.59445447,7.968344843,7.190976834,8.158938807,8.00215376,7.451924971,7.481169714,8.493342409,7.715902785,7.830990907,7.517420595,7.592040832,7.509159075,8.884478995,7.56186811,7.440488903,7.649741754,6.943351059,7.946701382,7.804068126,7.96697245,8.056340618,7.525663462,7.58218061,8.7308868,7.318431486,7.669738581,8.310073366,8.391838162,7.731894827,8.058943746,7.245451741,7.773506128,8.616472929,7.81998101,7.180133427,7.72644234,7.476393509,8.724075052,8.340240163,8.595434046,8.19553433,8.087455848,8.046178868,7.78485055,6.895629594,8.344870939,8.115577589,7.809998899,7.462765668,7.270453954,7.434911036,8.015510352,8.11123535,8.541735489,7.898744914,7.797958456,8.190525808,7.671648072,7.960800247,8.07105556,8.776605339,8.276546523,7.502445842,7.819973812,9.082819089,7.064269915,8.950753189,8.280776269,7.605594846,7.940709115,7.970470664,7.476086169,8.538801645,7.696150886,7.703194205,7.976903599,7.579039591,8.085801599,7.556524908,7.851184973,7.9873194,8.967438319,8.130918501,8.004627477,7.787071204,7.479528082,7.851498341,7.556880354,8.64874099,8.385741181,8.380036505,8.619776105,7.612537973,7.374271979,8.175569476,9.384673497,7.510984476,7.680404802,7.726884892,7.549487271,7.439404586
"310",0.4731848,-0.057554154,2.340001986,0.210916416,1.028530493,0.969105406,0.707073939,0.048209538,2.274384299,0.897457179,0.097378591,1.466143805,2.119864897,-0.144815031,0.057232149,0.360754072,0.552300345,1.568784203,0.891463565,2.015922005,0.07641914,0.560083825,0.014848585,2.516779929,0.732649766,2.231394319,1.409650638,1.104949317,2.332261991,0.621945796,-0.102969472,0.665431151,-0.289266961,2.160408931,0.725395957,0.828289441,0.767206512,2.415687454,1.77705774,-0.191990417,0.742600776,1.080296418,1.047908666,0.090320706,2.447876612,0.501076091,0.548460321,2.287918636,2.044793773,2.538992864,1.311308372,-0.008980082,-0.609064295,1.368783365,1.635293827,0.208675689,0.574416711,2.240040034,0.189233163,0.455734207,0.326518204,0.44930998,-0.236885594,1.574094271,0.050624367,0.018120211,0.721347303,2.863022348,0.604538853,2.549328604,-0.652114192,0.843091113,0.56131321,0.155858913,2.591062402,-0.315764906,0.078412091,0.567702759,0.430420807,0.977999997,0.061099885,0.216514083,0.641097334,1.02378034,0.549717233,2.394029352,0.139118152,0.367809142,0.842366664,-0.074251874,1.189081529,1.265232979,0.315996808,0.624158666,-0.419788797,2.045949514,1.555135214,-0.114397604,2.117096474,-0.056554458,1.046442917,2.618983562,0.389553112,2.092055812,1.994683445,0.898315677,2.077213643,0.617092012,0.333550763,1.267413521,0.41357833,2.586488246,2.66764616,2.086813788,0.785201133,1.28225959,0.87265183,2.514756864,1.391022203,0.357402796,0.894068436,1.032833392,1.210983779,1.299561565,0.23615035,1.033084051,0.502121303,0.969246201,-0.170062923,2.468711578,0.272396041,0.420873851,0.318450755,0.362588989
"341",6.381257449,7.247609413,5.878816026,6.951384306,6.459072015,6.540247412,6.301714354,6.099871657,5.735367203,6.472366015,7.159248687,5.994852122,5.863720531,7.136618286,6.638516435,6.637994971,6.403592331,5.680292519,6.157000478,5.973312082,6.35430339,6.505426748,6.668444917,5.862701657,6.51031026,5.974819064,5.806211285,6.540475341,6.049294129,6.738809554,6.699336152,6.195252098,6.760901796,5.825370753,6.676453279,6.721840015,6.294165266,5.791400443,6.073559376,6.441775421,6.059367166,6.404913601,6.969559721,6.756910232,5.883124196,6.153629286,6.473417623,5.791823332,6.002627641,6.049954783,5.80618282,6.249215767,7.011444947,6.135718495,5.854366478,6.464398563,6.777889572,6.335826139,6.969583646,6.270362015,6.072106787,7.243725846,6.51024736,6.439564939,6.905899125,6.765663539,7.159545087,5.803900943,6.30327895,5.743058188,7.114901801,6.246493269,6.333778808,7.177078236,5.659745408,6.534044594,6.634023768,6.952514177,7.059777427,6.108275922,6.894655809,6.731750107,7.020387282,6.976185595,6.985271749,5.878950946,6.943129631,6.503555068,6.671201314,6.778389096,5.773197129,6.760413134,6.401826717,6.398805556,7.143840834,6.251275903,6.337516546,6.419109114,5.967031185,6.852738628,6.822210782,5.936367732,7.106719066,5.858048387,5.948481935,6.15381641,5.845657469,6.760573345,6.767985041,5.89340329,6.381669082,5.675311906,5.666565894,6.013299864,6.497183873,6.358460882,6.342637962,5.928943467,6.306558776,7.292390998,6.2287382,6.598798902,5.981397123,6.570090508,6.166027404,6.434587985,6.865526034,6.701269595,5.970275283,5.782748887,6.868845859,6.387939961,6.089008771,6.486240138
"352",5.777863399,6.439632386,5.62183759,6.48462569,6.07106307,6.158594961,5.888665829,6.082366548,5.394123543,5.832643585,6.528739927,5.429871278,5.595943181,6.416336508,6.206979268,6.084312634,5.894320794,5.565808551,5.930016806,5.650497539,5.93507225,6.062949914,6.413247506,5.430226886,6.019093642,5.436508749,5.550361841,6.282867109,5.325466429,6.023069116,6.13585061,5.835972558,6.340089659,5.654911163,6.305447332,6.402897088,6.028338522,5.5221033,5.679305709,5.782511085,5.717542079,5.91884185,6.203265195,6.513622033,5.517284181,6.032638897,6.230512835,5.440757486,5.586243967,5.583037197,5.395565223,5.981326522,6.504403725,5.705605675,5.337929428,6.215290534,6.562869546,5.673437352,6.458899335,5.729925529,5.986186513,6.483211726,6.240553151,5.916294761,6.471774472,6.440591963,6.452375341,5.475410593,6.226441209,5.378559533,6.689306519,5.858879135,6.071116088,6.452063128,5.534990377,6.136298779,6.141627386,6.454102829,6.332074754,5.883151358,6.279758709,6.332399245,6.342103148,6.480687558,6.277637687,5.427812209,6.387748562,6.280869505,6.341893688,6.197877988,5.428427931,6.220637577,5.985517881,6.003997855,6.348395528,5.6628121,6.077067006,6.079015751,5.172262267,6.595932037,6.140211647,5.516771951,6.592770933,5.651714878,5.652772836,6.213012203,5.444621256,6.118776117,6.276338015,5.597089134,6.273689813,5.498000399,5.29935692,5.561854315,6.226674527,5.84142787,6.082105196,5.540610292,6.086906517,6.489156887,6.174689557,6.123253586,5.703197054,6.226916263,5.894102098,6.098647956,6.431486932,6.156458196,6.25491083,5.476342019,6.277106459,6.29151256,5.898008451,6.239291958
"372",0.985390959,0.027334743,2.970545522,0.210916416,1.146366983,0.371864575,0.51759614,-3.858681058,3.126170295,1.055719263,1.128405487,1.962819774,3.083601353,-0.144815031,0.542658976,0.109215305,0.404201706,2.003504069,-0.051952907,2.895388339,0.699855789,-0.210434329,1.083020088,2.603715565,0.811721337,3.012081291,1.775522081,-1.216978778,3.103528042,1.682487338,-0.378603915,1.272419959,0.378157699,2.981643442,0.969548897,0.188465006,1.078667608,2.951354658,0.956607161,1.450115991,1.010533981,0.991487152,1.165745157,1.047251984,3.013473788,1.140900527,0.235302436,2.938257145,2.730685183,2.867829328,1.992778853,0.071190267,-0.213135619,1.618142834,2.234470187,0.513530271,0.245109086,3.297987384,0.113284309,0.994600294,1.015589108,0.173675538,-1.025381489,1.203725821,0.170918601,-0.543758677,-0.707495996,3.513508421,0.416093764,2.973977698,-0.491649519,1.48775986,0.342303428,-0.454194568,3.199703899,1.130034847,-0.658553503,1.063660254,-0.923216148,0.906741314,-0.279937033,1.083247552,0.235840856,-0.56118216,-0.298279674,2.924544069,-0.708878755,0.523928344,0.72207243,1.205856045,1.697545892,0.55303529,0.315996808,0.427121819,-0.178780698,3.028247513,0.903058518,-0.114397604,3.124832123,0.428872369,1.374497114,3.027199796,0.98471138,2.390967254,2.98850487,0.691864799,2.659029588,0.541143158,1.057033128,2.539666457,0.641847317,2.878797574,3.300750155,3.03023026,0.503788198,1.24870703,0.683174031,2.867209826,0.745687084,0.922999972,1.297424131,-0.486540768,1.002036889,0.562595971,0.721577177,0.719926166,0.415964659,1.123968796,0.773353549,2.618089202,-0.024585697,0.543730598,1.508781967,0.603597089
