"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"16863",1.22301252901518,2.92086637028358,9.097264130519,1.18203172502083e-15,2.05673520153625e-11,24.9095129536039
"3296",1.59476078308704,1.99551195931343,8.12284384209693,2.7557911515308e-13,1.02189516316285e-09,19.7053587924482
"673",1.48582176510425,1.15687735549254,8.12163822353773,2.77414545637169e-13,1.02189516316285e-09,19.6990213227028
"14913",-1.15302934865587,2.61157482269403,-8.115173424067,2.87465600832097e-13,1.02189516316285e-09,19.6650433674142
"12060",1.6758248387581,0.195138411432836,8.11130749245581,2.93648035391624e-13,1.02189516316285e-09,19.6447286742478
"3227",1.27985174646963,4.34413754081343,8.01634023046806,4.9477245871933e-13,1.43484013028606e-09,19.1466564058525
"15625",0.867846708525304,3.82878313547015,7.75450261703162,2.06337921436908e-12,4.56140616894521e-09,17.7835013147777
"2118",0.629182292016193,2.3424481095597,7.75150464011302,2.0971982385955e-12,4.56140616894521e-09,17.7679838646595
"5872",0.845144746591093,3.30270871034328,7.70028382135739,2.76771086908228e-12,5.04422811743682e-09,17.503196397573
"2324",0.987392420225709,2.38317450985075,7.66132275548442,3.4164593206627e-12,5.04422811743682e-09,17.3022091233626
"4770",0.482585044257087,4.50777619529851,7.6556096736237,3.52349002366596e-12,5.04422811743682e-09,17.2727683528959
"2634",0.884293393436236,1.39560000679104,7.64095810735638,3.81341147631685e-12,5.04422811743682e-09,17.197302288751
"15545",1.5439327056751,1.99882574442537,7.6363101444086,3.91023388240079e-12,5.04422811743682e-09,17.1733730160719
"12710",1.18149640440789,0.0259139285746269,7.62042326130784,4.25994440325593e-12,5.04422811743682e-09,17.0916224494643
"11229",1.00590105244939,5.16046629859702,7.61660670857197,4.34847251503174e-12,5.04422811743682e-09,17.0719926214974
"8612",0.751952043193319,4.52039943857463,7.57796249430791,5.35419006965797e-12,5.82268170075305e-09,16.8734379352821
"11481",1.00613301369534,2.46909437215672,7.45247129072508,1.04940818847434e-11,1.07410014585021e-08,16.2313011090393
"504",1.13122285043117,4.71215413537313,7.43185621132271,1.17159897603041e-11,1.09226255772658e-08,16.1262093438477
"6589",0.706138767054656,2.74924876245522,7.42851313903935,1.19270049406926e-11,1.09226255772658e-08,16.1091777107732
"10847",0.939611518031377,1.87494330932836,7.38077093050191,1.53850074120063e-11,1.33849564484455e-08,15.8662792947957
"1701",0.927893879754049,3.74285745722388,7.36655826920622,1.6594337890405e-11,1.37495942520498e-08,15.7940892937163
"16892",0.804996746324897,3.17908618541791,7.2128250257371,3.74823993659269e-11,2.96451704075967e-08,15.016847023628
"10115",0.800932763963565,3.82721921860448,7.16333464234777,4.86530576052952e-11,3.68070957535712e-08,14.7680790705238
"3755",1.17878388569433,3.50776772617164,7.07691900191173,7.65856569966091e-11,5.55246013225416e-08,14.3354500088901
"57",1.43146974109312,-0.808096011492537,7.02590274019813,1.00000653426794e-10,6.96004547850486e-08,14.0811098573641
"13160",1.16324750954656,-0.132331969641791,6.98780460588746,1.21980693151184e-10,7.87718274128387e-08,13.8916997475938
"1596",1.03705415731073,1.84791935816418,6.98740927452004,1.22232145985439e-10,7.87718274128387e-08,13.8897366904924
"10056",0.985717190113361,0.246761756141791,6.96223149340121,1.39347592224151e-10,8.65945751678656e-08,13.7648156667252
"14280",1.31604632326721,0.497326924544776,6.93539881985126,1.60198113119124e-10,9.61188678714747e-08,13.6319056573919
"7941",1.11486869757591,3.60114593013433,6.91253169156895,1.80379007345604e-10,1.0461982426045e-07,13.5188203663992
"9493",0.840187445804657,5.93373498036567,6.87462911173522,2.19498982354158e-10,1.23202654611689e-07,13.3317529448914
"6016",0.763790234509109,1.76685867418657,6.85410654140658,2.44064283388446e-10,1.29372403915266e-07,13.2306601745119
"9803",1.54993049452328,1.39588233130597,6.85021602769497,2.49018343320016e-10,1.29372403915266e-07,13.2115114033295
"4810",1.24499887860425,1.65777258479851,6.84729989297009,2.5279665132868e-10,1.29372403915266e-07,13.1971617178446
"4801",-0.378541623224698,5.73836686973134,-6.81120226041932,3.04526557935452e-10,1.5139320308791e-07,13.0197664700541
"6823",0.637839179740891,2.49825792087313,6.79579828259335,3.2966309176579e-10,1.59337161020132e-07,12.9441988194047
"5810",0.814705613369434,1.92509714123881,6.77891161822936,3.59576260104299e-10,1.69098025022022e-07,12.8614492110262
"12855",1.21046410232287,1.91879797450746,6.76942669092347,3.77537089145275e-10,1.70611423910862e-07,12.8150125407087
"2990",0.761078255711539,5.79825529295522,6.76693273645178,3.82404915662277e-10,1.70611423910862e-07,12.8028076057806
"297",0.575970409685222,7.93601137734328,6.72187697407509,4.81815565534286e-10,2.09589771007414e-07,12.5826786959475
"7439",0.977200170160931,5.52346726666418,6.71285783767653,5.04584234575267e-10,2.14140626380723e-07,12.5386975940338
"12773",0.963555701788461,2.77350173298507,6.6840378044568,5.84694618823822e-10,2.42230627798441e-07,12.39834781298
"16716",1.14030778277126,-0.0544813328432836,6.6651578661603,6.43849206873619e-10,2.60534330223278e-07,12.3065618815465
"15055",0.95573792417915,0.801048641044776,6.64299879124244,7.20840920114576e-10,2.85059818408946e-07,12.1989938584629
"12343",0.696875173205465,4.30433743973881,6.61517090862762,8.30495671832746e-10,3.21124993108662e-07,12.0641534057835
"16687",1.36290562203138,0.516847411798507,6.60529639080303,8.73234135219596e-10,3.25361200008229e-07,12.0163725258487
"12764",0.379116493532388,4.89950497673881,6.60402971846296,8.78871113257211e-10,3.25361200008229e-07,12.0102458655488
"11384",0.623231945817814,3.3157163188209,6.59988936388046,8.97548137953735e-10,3.25361200008229e-07,11.9902237418254
"2199",1.31258419441194,1.24270619028358,6.58879932928837,9.49524951885867e-10,3.37178248220695e-07,11.9366243108573
"14616",1.07478308215789,0.242372303925373,6.57580149021216,1.01423000695438e-09,3.51458641927735e-07,11.8738605458984
"12177",-0.411999276406882,5.06223036462687,-6.56936590145644,1.04785745772366e-09,3.51458641927735e-07,11.8428070392001
"14905",1.46400172576518,-1.25973083727612,6.56889961728057,1.05033617127829e-09,3.51458641927735e-07,11.8405576701635
"1803",0.711297574924088,2.88678567512687,6.55245405856599,1.1415550348696e-09,3.74774671825113e-07,11.7612742053634
"8279",0.723494427551618,6.6271162229403,6.54476222576535,1.18685807647086e-09,3.7880762063533e-07,11.724225886144
"10204",1.02548838095344,0.610949021261194,6.54301712616778,1.1973804100542e-09,3.7880762063533e-07,11.7158234771099
"8630",0.867441140518218,1.03809924722388,6.51984762741488,1.34611295889313e-09,4.13202741175341e-07,11.6043711457641
"6560",0.809213594892714,5.84660326363433,6.51587676505026,1.37337034816414e-09,4.13202741175341e-07,11.5852898551229
"4774",0.932224113114374,3.53119315227612,6.5153045993635,1.37734247058447e-09,4.13202741175341e-07,11.5825408901982
