"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"10728",-1.32789142790384,1.90249714129851,-10.2359547931134,1.73351752727394e-18,3.01632049745665e-14,31.4196466712781
"13385",1.00889944053846,6.05139809613433,9.88643457950156,1.3000022588701e-17,9.02295208693478e-14,29.4638131949665
"10694",-1.31321403510839,3.43230770412687,-9.85521414156796,1.5556813942991e-17,9.02295208693478e-14,29.2895053828423
"16113",-3.42332017010664,-1.39259938855224,-9.7348688319788,3.10581011245299e-17,1.35102739891705e-13,28.6183048323478
"16278",-2.85307389442308,-0.172656013865672,-9.68041118353923,4.24489092265541e-17,1.47722204108408e-13,28.3149674106895
"6969",0.437928191132868,4.20743601511194,9.60017502729782,6.72320829388185e-17,1.94973040522574e-13,27.8685118603909
"1431",1.00547249111189,2.0569209461194,9.4880643485254,1.27694294446249e-16,3.00520710414951e-13,27.2457007636922
"13548",-2.77407800843531,0.725252029932836,-9.4742688656384,1.38170441570092e-16,3.00520710414951e-13,27.1691473242904
"2820",0.724801003230772,4.18391569176119,9.36163057855287,2.62833614681963e-16,5.08144988385129e-13,26.5448350946828
"4279",0.70505173831119,5.03336100537313,9.31028243269319,3.52198150851127e-16,6.12824782480961e-13,26.2606847444065
"10778",0.612827950139862,4.53731407177612,9.27379392527156,4.33540671494358e-16,6.36735828143402e-13,26.0589450041296
"5496",-3.45579819630944,-1.37786201453731,-9.26624395966834,4.52578398393088e-16,6.36735828143402e-13,26.0172214215246
"4419",0.752022077416087,7.07449053808209,9.25748072393232,4.75722170451967e-16,6.36735828143402e-13,25.9688012149611
"7439",1.28651004690734,5.52346726666418,9.20782965668938,6.30953416385237e-16,7.37003667198408e-13,25.694631050734
"15829",-2.70258674646504,-1.44048889397761,-9.18716453866566,7.09584337567039e-16,7.37003667198408e-13,25.5806065529937
"13593",0.591407839339166,5.470042183,9.18517816858812,7.17638407516393e-16,7.37003667198408e-13,25.5696490386918
"7725",0.561649967444058,4.95751232592537,9.18458501583569,7.20061054159364e-16,7.37003667198408e-13,25.5663770934499
"1776",0.693957763814687,4.6139337463209,9.12080283687419,1.03429458085523e-15,9.89126259749178e-13,25.2147964980419
"9789",0.433942014003502,8.07386379858955,9.11316764523019,1.08008039857669e-15,9.89126259749178e-13,25.1727439973565
"10593",0.477133510426573,6.06651294725373,9.08934058844904,1.23634821132352e-15,1.07562294385146e-12,25.0415592360024
"1038",0.655238008701051,4.44531100290298,9.07394483029847,1.34909491959294e-15,1.11782150480558e-12,24.9568337538042
"983",0.559441136867139,5.2589711146791,9.03216690713153,1.7093204823699e-15,1.35191710878347e-12,24.7270795862317
"7305",0.729984876508746,5.87303339692537,9.02364085587861,1.79385164213151e-15,1.35708776404731e-12,24.6802198157667
"12492",0.5355448548007,6.05539106279851,8.98203012454465,2.27003664005633e-15,1.64577656404084e-12,24.4516656015509
"7810",-0.685838309914335,3.62801711967164,-8.8901244645146,3.81495910830416e-15,2.65521153937969e-12,23.9477113417532
"17075",0.447888644963287,7.26592618281343,8.88046593172657,4.02858808152095e-15,2.69605510071018e-12,23.8948199639967
"12225",-2.61211614204196,-1.06833483739552,-8.85299057080611,4.70363496570495e-15,2.94765333449297e-12,23.7444359730031
"4747",0.47381992063287,5.7454267596791,8.85149881094986,4.74335019343697e-15,2.94765333449297e-12,23.7362741394689
"6971",0.521843711748252,5.58370809402239,8.82763740046048,5.42593089653313e-15,3.25555853791988e-12,23.6057667212719
"8363",-2.73069468918706,-2.41350923186567,-8.81973244855525,5.67295746075109e-15,3.29031532723563e-12,23.5625502292401
"6103",0.6156274202465,5.92378371941791,8.8087925829586,6.03338873190953e-15,3.33524742613751e-12,23.5027573647709
"7854",-2.55470510863811,-1.00447380117164,-8.80361386416363,6.21186940748524e-15,3.33524742613751e-12,23.4744589119937
"7582",0.837992290124127,6.64701016301492,8.80039426266609,6.3254692564677e-15,3.33524742613751e-12,23.4568678623976
