"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"13623",0.794646837186603,5.25582222515672,11.7397724169282,2.83227782710692e-22,4.92816341916605e-18,40.0185646198538
"10970",0.632122769395932,5.36154578004478,11.4719750239442,1.34029068097045e-21,1.02231182857545e-17,38.4979891401212
"5442",-1.4931332802799,2.18077908370896,-11.3873318276235,2.19086590183806e-21,1.02231182857545e-17,38.0172130980948
"17075",0.620263472425838,7.26592618281343,11.3752440575838,2.3501421346562e-21,1.02231182857545e-17,37.9485508381758
"4461",0.678228654331338,6.56943521908209,11.2923157565499,3.80356352744415e-21,1.32364010755056e-17,37.4774806915709
"6563",0.600491137744018,5.54524402749254,11.1314228441244,9.67907289816468e-21,2.80693114046776e-17,36.5635549634969
"4489",0.715696680255983,4.30911573216418,10.7811988359217,7.38423709625439e-20,1.29763812000273e-16,34.5751028949301
"6074",0.732901070842105,4.92978945146269,10.7506653126619,8.81428052798638e-20,1.29763812000273e-16,34.4018574379613
"6969",0.529864413639953,4.20743601511194,10.7438470550664,9.16965914074183e-20,1.29763812000273e-16,34.3631743726877
"3838",0.737783001270337,4.60820869885075,10.7419296519249,9.27215177292781e-20,1.29763812000273e-16,34.3522963009879
"12177",0.698914606868422,5.06223036462687,10.7396495673525,9.39552200359548e-20,1.29763812000273e-16,34.3393607454225
"3964",0.573026534303828,6.3840539103806,10.7395510167631,9.40089117337625e-20,1.29763812000273e-16,34.3388016436328
"10333",0.705780547608856,5.61802759281343,10.7342368917675,9.69499744829624e-20,1.29763812000273e-16,34.3086536951293
"5084",1.51348821726435,6.90933317176119,10.6698070867434,1.40839467690578e-19,1.66956950975055e-16,33.9431964324658
"3644",0.739435530746417,6.71340983698507,10.6660631442248,1.43928406012978e-19,1.66956950975055e-16,33.9219639388087
"12855",-1.97138187345574,1.91879797450746,-10.6245300422822,1.8308656165919e-19,1.99106635804369e-16,33.6864530485365
"1214",0.559590080436608,6.65062683598507,10.5974033791605,2.14240365495182e-19,2.19281315271539e-16,33.5326638572692
"10443",0.712322439235647,4.70242471391791,10.5804594636305,2.36332054015874e-19,2.22576034637051e-16,33.4366166801772
"470",0.618234329716501,7.07779538597761,10.5688052309876,2.52833952653039e-19,2.22576034637051e-16,33.3705602118539
"6535",0.533833370979664,5.50367695473134,10.5667680263473,2.55834522571323e-19,2.22576034637051e-16,33.3590137937751
"12521",0.483144110763155,5.43663353771642,10.54729600447,2.86371332527602e-19,2.37279104094299e-16,33.2486584817125
"1550",0.613159835200959,6.54854851906716,10.5093544663653,3.56722400918113e-19,2.71562874560659e-16,33.0336708533279
"6916",0.574959902941394,6.16132037973134,10.5023537032631,3.7147572161133e-19,2.71562874560659e-16,32.9940086942585
"4132",0.551294089806227,5.66516408009702,10.4961347250128,3.8509184496328e-19,2.71562874560659e-16,32.9587773149435
"6711",0.53680258430383,4.9769872271194,10.4938685203367,3.90176543908993e-19,2.71562874560659e-16,32.9459393384808
"6555",0.607266963883971,5.91127913776119,10.4716238195624,4.43787790997773e-19,2.96996444744663e-16,32.8199350175114
"1569",0.572245463366027,5.43721608943284,10.4416046604343,5.27978911016104e-19,3.40253075988156e-16,32.6499255653519
"7428",-1.31674749254665,1.55597162629104,-10.4312537664297,5.6056423436647e-19,3.48350631356307e-16,32.5913137164078
"4755",0.647454586905504,5.9547647626791,10.4145816024746,6.17324130793144e-19,3.70394478475886e-16,32.4969177227723
"11151",0.476139074857661,6.05619018847015,10.4084310538147,6.39682910706489e-19,3.71016088209763e-16,32.4620971376766
"9050",0.697717539730867,7.45982640295522,10.3982216007708,6.78596132335841e-19,3.76441332757598e-16,32.4043013681926
"3244",0.573009720221294,5.83460246298507,10.394763410965,6.92305899324319e-19,3.76441332757598e-16,32.3847256240633
"341",0.691875543448566,6.44691916560448,10.37981113533,7.54838264482796e-19,3.83491145558653e-16,32.3000918191801
"12533",0.602910471754789,6.97167526561194,10.3763075946625,7.70287998410024e-19,3.83491145558653e-16,32.2802623782626
"14715",0.637676663700961,4.93863165120896,10.3760603281983,7.71390235319129e-19,3.83491145558653e-16,32.2788629143219
"8343",0.599590064190197,7.05077440212687,10.3643196847713,8.25579841924154e-19,3.99030256930008e-16,32.2124172757561
"834",0.616393980210526,6.74320033480597,10.3224351826915,1.05177225185512e-18,4.85806038282434e-16,31.9754285148031
"2455",0.672776110025122,5.15937702283582,10.3149638056981,1.09818773120627e-18,4.85806038282434e-16,31.933163545584
"3371",0.591782329600482,5.75444766758209,10.3144267598495,1.10160182807129e-18,4.85806038282434e-16,31.9301256304535
"6863",0.550777961705745,5.8837256558806,10.3107763781863,1.12509046747306e-18,4.85806038282434e-16,31.9094768533611
"4069",0.641670881982057,3.16962173038806,10.3077843385917,1.14471537756206e-18,4.85806038282434e-16,31.8925525681068
"6496",0.549220399994018,5.06475208657463,10.2846254422265,1.3086388494121e-18,5.42150380470729e-16,31.7615714044621
"1593",0.708159003253588,6.28845260664179,10.2742244947615,1.3896940440547e-18,5.6234131085004e-16,31.7027553078765
"12005",0.580124331754784,6.93525567559701,10.2683558756209,1.43762084452883e-18,5.68513697609128e-16,31.6695715232775
"352",0.572996876307421,6.06105008462687,10.2465746741637,1.63038126004845e-18,6.22580567185895e-16,31.5464271956326
"1862",0.620802877112443,6.5785896421791,10.2426614237067,1.66765246098621e-18,6.22580567185895e-16,31.5243056102304
"1798",0.570220250683016,4.94955617602985,10.2412108667972,1.68168314124926e-18,6.22580567185895e-16,31.5161058340871
"12002",0.503431507002393,4.26059777594776,10.198476143033,2.15237479369009e-18,7.80235862712657e-16,31.2745860360945
"534",0.52263808595933,5.33000817652239,10.1926927730115,2.22545279280749e-18,7.90262828466334e-16,31.241908734988
"9789",0.52303753095694,8.07386379858955,10.1598975639024,2.6892339183451e-18,9.35853403584094e-16,31.0566458741661
"4419",0.89174520438876,7.07449053808209,10.1536414932447,2.78809735294022e-18,9.46765337687392e-16,31.02131210905
"3345",0.68750766460168,6.58237286622388,10.1398304202847,3.01938440784025e-18,9.46765337687392e-16,30.9433167489272
"11625",0.519111757787082,5.88455268798507,10.1370751085575,3.06776855043181e-18,9.46765337687392e-16,30.9277580581263
"407",0.534046136727277,5.74452929621642,10.1343901397776,3.11566182410771e-18,9.46765337687392e-16,30.9125970302371
"6402",0.605911710997616,6.95658563448507,10.1333704753293,3.13404503916236e-18,9.46765337687392e-16,30.9068394781134
"5177",-1.52920399997727,5.78610555932836,-10.1330381709394,3.14005941144449e-18,9.46765337687392e-16,30.9049631297983
"7501",0.617959722351674,6.25901519309701,10.1315685071903,3.16679727602592e-18,9.46765337687392e-16,30.896664792715
"1776",0.83306148958493,4.6139337463209,10.127351977779,3.24477730434845e-18,9.46765337687392e-16,30.8728572457079
"10593",0.574753656535887,6.06651294725373,10.1272846652825,3.246037592261e-18,9.46765337687392e-16,30.8724771920045
"7725",0.669480243452155,4.95751232592537,10.1262905120269,3.26470806099101e-18,9.46765337687392e-16,30.8668641270667
"4065",0.778002262063397,4.62883210620896,10.1178243057884,3.42811163461759e-18,9.77854794136821e-16,30.8190657849494
"959",0.505151496473685,4.80087926716418,10.0890451290576,4.04707563304988e-18,1.11906590279125e-15,30.6566187833806
"10591",0.54775707971053,6.68887343816418,10.0888432272101,4.05179033769245e-18,1.11906590279125e-15,30.6554793151718
"10705",0.489820987544259,5.24563476208955,10.0848409075612,4.14639002024884e-18,1.12729978675515e-15,30.6328920723782
"3428",0.685020808696175,8.16975818309701,10.0634271077171,4.69126442919492e-18,1.25002399941241e-15,30.5120602393492
"2634",-1.20830278167225,1.39560000679104,-10.0615805515021,4.74147034259879e-18,1.25002399941241e-15,30.5016420743038
"6785",0.576411786137558,5.84439634289552,10.0488812739898,5.10158190113732e-18,1.32488843402671e-15,30.4299996221253
"902",0.664432482184215,6.38349751552239,10.0395760838738,5.38265829720896e-18,1.3575081471584e-15,30.3775116408334
"3520",0.724352192087325,6.77311875106716,10.0395579149323,5.38322196286953e-18,1.3575081471584e-15,30.3774091606232
"988",0.685288872935407,6.41792779188806,10.0134503437589,6.25718159688692e-18,1.55535656836903e-15,30.2301751365732
"7266",0.550278916180623,6.06006078246269,10.0077599322915,6.46571846882757e-18,1.58455635714929e-15,30.1980902158193
"588",0.630657379736842,6.0448192333209,9.9915694714041,7.09776627730387e-18,1.7152935170151e-15,30.1068140125186
"8935",0.756156638583738,6.1362323389403,9.97966057171026,7.60168628837846e-18,1.79766768200413e-15,30.0396875884354
"15246",-1.52229098821411,5.1125210741791,-9.97866824975075,7.64525336024744e-18,1.79766768200413e-15,30.0340946626977
"4361",0.545234438230862,5.89345332438806,9.97074961475939,8.00196084689994e-18,1.85645491648079e-15,29.9894661766331
"14444",0.717772451245219,7.0115953481791,9.96246559292796,8.3929124140237e-18,1.90842672360528e-15,29.9427832510116
"16732",-1.29449601051674,7.01399302741045,-9.96138414348547,8.44533665043718e-18,1.90842672360528e-15,29.9366893287908
"7315",0.532200804687803,5.77597439597015,9.95051501960486,8.9907157411792e-18,1.96644342506511e-15,29.8754470048628
"7223",0.507962512198568,6.81509291657463,9.94969099336529,9.03346819110237e-18,1.96644342506511e-15,29.8708043628136
"4297",0.535587159532301,8.27679975252985,9.94954393571613,9.04111919570167e-18,1.96644342506511e-15,29.8699758313007
"10",0.61743059855981,4.78518987525373,9.9459621595346,9.22947887846965e-18,1.9826287961157e-15,29.8497963827716
"539",0.664683096045462,5.76917121841045,9.92344405669335,1.05067017569312e-17,2.22947086061712e-15,29.7229529045819
"8420",0.590458322172251,6.11032286927612,9.90726579236548,1.15318115845084e-17,2.4070104878326e-15,29.6318449213182
"11478",0.572045992717705,5.33829365291045,9.90594097086293,1.1620050630916e-17,2.4070104878326e-15,29.6243850609354
"7307",0.629869559531102,4.5573786605,9.88686183862942,1.29681119240849e-17,2.63057636162403e-15,29.5169683959322
"15488",-1.58042933838875,6.96124800078358,-9.88608681755999,1.30260536759028e-17,2.63057636162403e-15,29.5126055734978
"5690",0.612478969370815,4.19144780709702,9.88421617707244,1.31669718545673e-17,2.63057636162403e-15,29.5020753777281
"9216",0.563449663483252,6.87749115435075,9.88241539077261,1.33040643576388e-17,2.63057636162403e-15,29.4919386612707
"9778",0.654650803418667,6.59874938208209,9.87201208285118,1.41244008412508e-17,2.75856187620803e-15,29.4333828663858
"4463",0.579623547362441,5.34834835245522,9.86869965840605,1.43960430588367e-17,2.75856187620803e-15,29.414740416291
"7856",-1.25632662155382,8.24042989212687,-9.86832659573487,1.44269615364903e-17,2.75856187620803e-15,29.4126408594829
"4225",0.561741470557416,5.89259213204478,9.85349815790427,1.57110623935277e-17,2.97144006138458e-15,29.3291968991908
"8939",0.605369997526318,5.97236367413433,9.84718902698214,1.629141809257e-17,3.04182493009054e-15,29.2936988702736
"7251",0.527517935800241,5.41250205627612,9.84497039755623,1.6500544698964e-17,3.04182493009054e-15,29.2812166123669
"3144",0.63833327777273,7.26983098690298,9.84384479753247,1.66076648481955e-17,3.04182493009054e-15,29.2748840113153
"10166",0.518859710071773,7.33185805058955,9.83981935650691,1.69964628479184e-17,3.04913614781152e-15,29.2522378011911
