"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5872",0.871699926050065,3.27365186975949,7.2176835718828,2.83980157876463e-10,4.39997495314773e-06,13.073812234491
"4770",0.45755658524198,4.41094318391139,7.08716389812321,5.05860537266927e-10,4.39997495314773e-06,12.5326147971958
"6589",0.699078233407575,2.61522186281013,6.96409955241205,8.70281675873528e-10,4.76459072681137e-06,12.0239600715656
"12710",1.09519952566816,-0.290723880594937,6.91175251374703,1.09556006594881e-09,4.76459072681137e-06,11.8081226856438
"504",1.01579604556996,4.39283107268354,6.76417918024736,2.0922292750092e-09,7.27928409361201e-06,11.2014982324654
"15545",1.35003206253723,1.62364538510127,6.62653336859915,3.81438535259505e-09,1.07132192799591e-05,10.6383755819347
"1701",0.914640794996149,3.65036203392405,6.59840215291776,4.31090681534339e-09,1.07132192799591e-05,10.5236339749982
"8703",-0.411220432001922,6.83674533813924,-6.50035938282914,6.59687269786277e-09,1.21887160622467e-05,10.124714591236
"297",0.590187638681006,7.99646937577215,6.49662121873347,6.70453749857084e-09,1.21887160622467e-05,10.1095356196417
"3227",1.25016920201733,4.37813294568354,6.48644194624316,7.0066199484058e-09,1.21887160622467e-05,10.0682140922351
"673",1.29638585246341,0.887544375481013,6.43255980869427,8.84480398280351e-09,1.34753594029285e-05,9.84977883122536
"3755",1.17136377357381,3.41123562225316,6.42104979903393,9.295488206205e-09,1.34753594029285e-05,9.80318279797354
"1636",0.583568784772143,2.87270923579747,6.28622337707413,1.66073679306169e-08,2.2223213270847e-05,9.25914217802491
"16863",1.00505129743197,2.76372882196203,6.25481590789789,1.90016132404239e-08,2.23932004826356e-05,9.13289789412353
"4801",-0.341393150998718,5.86791654737975,-6.2397456186524,2.02686657641789e-08,2.23932004826356e-05,9.07238997806419
"8739",-0.398759709223364,5.44351944755696,-6.23600169151029,2.05961834744867e-08,2.23932004826356e-05,9.05736484976499
"2634",0.775414376978819,1.08789049156962,6.19954428800752,2.40719845250295e-08,2.35019148854808e-05,8.91119948789813
"15211",-0.765157124264443,7.02648681798734,-6.19716569788838,2.4317916069134e-08,2.35019148854808e-05,8.90167247102511
"7001",-0.368494235436458,5.65836170492405,-6.18397537697508,2.57274765237315e-08,2.35555358740438e-05,8.84886177853608
"6823",0.643766170507061,2.38495235729114,6.16138039428724,2.8332109244588e-08,2.46432686209427e-05,8.7584796390234
"8860",-0.507355176259306,4.24188586094937,-6.12784966425251,3.2684688229894e-08,2.70753731641541e-05,8.62454794339154
"3730",0.423554675007702,5.15963344077215,6.09876060763846,3.69916012699426e-08,2.81822998975489e-05,8.50854904310754
"3292",0.914532702424262,1.18023611406329,6.0970538478509,3.72610311361017e-08,2.81822998975489e-05,8.50174856277168
"3296",1.33120124719961,1.88718947825316,6.06925774938056,4.1931902676644e-08,2.92770014950226e-05,8.39108495965243
"7439",0.931747033912706,5.68574687486076,6.06367428960742,4.29376513660599e-08,2.92770014950226e-05,8.36887592607929
"16892",0.794515146790115,3.08959541989873,6.05104624149741,4.53010567768759e-08,2.92770014950226e-05,8.31867114185233
"7941",1.06160245989153,3.63492964849367,6.04124165473913,4.72242220254299e-08,2.92770014950226e-05,8.27971563926281
"15625",0.769769081096276,3.60836333086076,6.03682221446479,4.81172434581761e-08,2.92770014950226e-05,8.26216329875917
"8847",-0.457914288825417,3.58205119143038,-6.03164323405276,4.91849798364567e-08,2.92770014950226e-05,8.24159986330575
"9859",0.576817183649548,3.62088738462025,6.0254657890399,5.048919549613e-08,2.92770014950226e-05,8.21707976724816
"12715",-0.370748716011554,4.63508503456962,-5.99272764244109,5.79923398647314e-08,3.19584193599634e-05,8.08727525926471
"8142",-0.295860866480743,7.5347788916076,-5.98950616741745,5.8787618965212e-08,3.19584193599634e-05,8.07451542066946
"8612",0.673331588243903,4.44709647711392,5.97608493577439,6.22183596840535e-08,3.27985025776908e-05,8.02138115906472
"14327",0.574206776324774,5.44565824636709,5.95718459812491,6.73870450828662e-08,3.44783834194571e-05,7.9466253971998
"390",0.588237368953791,8.29008193807595,5.92456297697969,7.73230916050933e-08,3.84317857589201e-05,7.81779361764902
"1059",-0.498988497822849,8.16113978851899,-5.90403614918339,8.43022137672784e-08,4.03853751037909e-05,7.73685591640123
"4211",-0.293125831245188,6.20588985872152,-5.89958219761084,8.58966934260901e-08,4.03853751037909e-05,7.71930712682883
"8630",0.91021983560398,0.749472804987342,5.87771432710189,9.41671008517223e-08,4.31087075372779e-05,7.63321567032028
"57",1.30589585492619,-0.982767587278481,5.86178164443398,1.00682622340002e-07,4.49096127750429e-05,7.5705631921051
"13923",0.983283542623235,0.561022115810127,5.83393943586402,1.1315221550056e-07,4.92098985211934e-05,7.46122761027037
