"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"10593",0.562242783295505,5.99615607817164,12.8315782058358,4.51809798303202e-25,7.85968325128251e-21,46.3864497341728
"3244",0.578312728816333,5.78756904885821,12.6934549197133,1.00530843830601e-24,8.74417279638568e-21,45.6008855356616
"4419",0.879994836336927,6.98668600979105,12.5150524266482,2.8282259882601e-24,1.08708332729763e-20,44.584812686256
"10970",0.578478025742684,5.2986660139403,12.4868428296962,3.33120009359179e-24,1.08708332729763e-20,44.4240117779552
"4461",0.627600022655,6.50360796435821,12.4755516387242,3.55678731194455e-24,1.08708332729763e-20,44.3596396333562
"3964",0.54170977480183,6.31768623904478,12.4664633719947,3.74942513439053e-24,1.08708332729763e-20,44.3078225189504
"3644",0.709390288041877,6.62852766444776,12.4396270890834,4.38140526535577e-24,1.0888417999447e-20,44.1547935687207
"959",0.473018642093893,4.73832808213433,12.4013923229726,5.47037033325712e-24,1.18953202896676e-20,43.9367142102188
"352",0.549177806680778,5.9957252359403,12.3782314490394,6.25785269902857e-24,1.20957339502557e-20,43.8045823260474
"17075",0.570941466350962,7.19498896035075,12.3491728067667,7.40831913002491e-24,1.28875119585913e-20,43.6387733532944
"1593",0.659264129531862,6.2464234948209,12.3022844672459,9.72778253374594e-24,1.53840459051858e-20,43.3711582842309
"1973",0.718452611838883,6.94545739914925,12.245662312415,1.35179172362e-23,1.86445254110195e-20,43.0478775070431
"1776",0.825361251322202,4.51847124181343,12.2404583334589,1.39330208291132e-23,1.86445254110195e-20,43.0181598748536
"6969",0.52860493875143,4.16164620390299,12.1009596516845,3.13541349983803e-23,3.89597523165589e-20,42.2212034140035
"2498",0.496085750619095,5.98693843046269,12.0773451076418,3.59706804692344e-23,4.17163971628534e-20,42.0862323952694
"5257",0.74397213330862,6.70888289691045,12.0411390730008,4.44041030952152e-23,4.73374904066974e-20,41.87926197762
"1501",0.521157285356726,5.77456392426119,12.0341016911127,4.62599066977384e-23,4.73374904066974e-20,41.8390287388486
"12265",0.710957433681232,6.63423724781343,12.0089418008729,5.35527468277726e-23,5.17557546564407e-20,41.6951766367061
"12005",0.579002297277781,6.88500777376119,11.9781748568114,6.40525557844604e-23,5.86451716013933e-20,41.5192431708778
"11785",0.525908318540372,8.32893427165672,11.9656216572245,6.89070882722885e-23,5.88974263772735e-20,41.4474536709315
"1187",0.550130989976746,5.58049414739552,11.9602399893855,7.10994455002727e-23,5.88974263772735e-20,41.4166756632269
"4572",0.641736182631972,8.74313504502985,11.9127300668685,9.37477754136706e-23,7.31388975063857e-20,41.1449337043827
"3838",0.684580071789868,4.55155218236567,11.9074034362925,9.67000829298041e-23,7.31388975063857e-20,41.1144637271773
"12492",0.62822890898986,5.98694612497761,11.8954855944448,1.03646923363123e-22,7.5126744951037e-20,41.0462876507282
"7810",-0.792476389639824,3.7057625985597,-11.8501962935728,1.34916085896677e-22,9.00396058136965e-20,40.7871816911727
"6971",0.623988299566849,5.51718571650746,11.8395057552097,1.43580561573533e-22,9.00396058136965e-20,40.7260134759019
"4214",0.719947693806429,8.91831112805224,11.8386547164652,1.44293779367088e-22,9.00396058136965e-20,40.7211439756384
"14307",0.610315645055684,6.0837826903209,11.8379054550438,1.4492463570841e-22,9.00396058136965e-20,40.7168568160792
"1862",0.573310475719433,6.50987532887313,11.7970423818889,1.83855441142141e-22,1.10287905314093e-19,40.4830280380978
"7315",0.504613745888368,5.71985826652985,11.755710041363,2.33888875552873e-22,1.3404374484533e-19,40.246482933419
"534",0.495383506433361,5.28166835606716,11.7520926327317,2.38868480697012e-22,1.3404374484533e-19,40.2257791022725
"7129",0.52996169547134,4.51036687482836,11.7158798077713,2.94953870386406e-22,1.56189545461668e-19,40.0185075432803
"4489",0.648947811485152,4.25341403336567,11.7151039919105,2.96289664304153e-22,1.56189545461668e-19,40.0140667801499
"10591",0.518327808953038,6.62827503585821,11.6903876369353,3.42166533255912e-22,1.75068500368231e-19,39.8725859941147
"9789",0.508161819948889,8.00763714804478,11.6774176293694,3.69017535678044e-22,1.8341225859015e-19,39.7983399495515
"6535",0.498919835810809,5.4548691270597,11.6506273102033,4.31339842480016e-22,2.08432997216176e-19,39.6449733578577
"6402",0.579075015820012,6.89736202052239,11.628414875666,4.9092347550631e-22,2.3081364270021e-19,39.5178071285127
"13018",-2.6895044720649,-1.2990503688209,-11.61569435823,5.28683556687332e-22,2.4202576716139e-19,39.4449796173906
"6563",0.542900778635205,5.47301527640299,11.6034149724818,5.67887598474473e-22,2.53306991360562e-19,39.3746760327845
"4297",0.516375138542681,8.22726360795522,11.5948680198045,5.96879038171135e-22,2.58135375749517e-19,39.3257409655303
