"","DLDR_0058","DLDR_0107","DLDR_0072","DLDR_0085","DLDR_0120","DLDR_0176","DLDR_0117","DLDR_0132","DLDR_0016","DLDR_0127","DLDR_0135","DLDR_0034","DLDR_0071","DLDR_0153","DLDR_0133","DLDR_0180","DLDR_0121","DLDR_0003","DLDR_0062","DLDR_0019","DLDR_0039","DLDR_0139","DLDR_0162","DLDR_0027","DLDR_0159","DLDR_0011","DLDR_0026","DLDR_0164","DLDR_0014","DLDR_0168","DLDR_0129","DLDR_0059","DLDR_0158","DLDR_0065","DLDR_0136","DLDR_0122","DLDR_0053","DLDR_0035","DLDR_0079","DLDR_0049","DLDR_0057","DLDR_0183","DLDR_0174","DLDR_0137","DLDR_0070","DLDR_0116","DLDR_0190","DLDR_0029","DLDR_0008","DLDR_0004","DLDR_0033","DLDR_0038","DLDR_0142","DLDR_0043","DLDR_0024","DLDR_0102","DLDR_0092","DLDR_0140","DLDR_0150","DLDR_0055","DLDR_0088","DLDR_0151","DLDR_0101","DLDR_0179","DLDR_0143","DLDR_0095","DLDR_0156","DLDR_0032","DLDR_0182","DLDR_0064","DLDR_0094","DLDR_0046","DLDR_0109","DLDR_0106","DLDR_0030","DLDR_0110","DLDR_0123","DLDR_0171","DLDR_0105","DLDR_0061","DLDR_0084","DLDR_0175","DLDR_0126","DLDR_0146","DLDR_0145","DLDR_0001","DLDR_0154","DLDR_0166","DLDR_0089","DLDR_0078","DLDR_0013","DLDR_0124","DLDR_0042","DLDR_0114","DLDR_0096","DLDR_0012","DLDR_0115","DLDR_0076","DLDR_0002","DLDR_0097","DLDR_0178","DLDR_0006","DLDR_0155","DLDR_0023","DLDR_0020","DLDR_0100","DLDR_0022","DLDR_0161","DLDR_0074","DLDR_0018","DLDR_0170","DLDR_0063","DLDR_0028","DLDR_0048","DLDR_0080","DLDR_0040","DLDR_0187","DLDR_0021","DLDR_0189","DLDR_0141","DLDR_0131","DLDR_0108","DLDR_0060","DLDR_0177","DLDR_0056","DLDR_0191","DLDR_0152","DLDR_0192","DLDR_0181","DLDR_0069","DLDR_0169","DLDR_0186","DLDR_0036","DLDR_0130"
"10",4.72359972,5.079203983,4.001278649,4.613375849,4.419385478,4.949099714,4.980475061,4.964686182,4.603125606,5.11872906,4.993776813,4.256458824,4.177530238,5.007831979,4.819226537,4.764021795,5.035526264,3.736946596,4.568031879,4.265587356,4.859904111,4.727242392,5.070480892,4.16027764,5.014400251,4.746892,4.358559705,4.822362114,4.367091975,5.205189779,5.369235723,4.468022079,4.82048689,4.374253174,5.050900772,5.0556719,4.590612122,4.115266632,4.752957491,3.980361322,4.474404665,4.803740873,5.229721746,4.826225105,4.016256229,5.001107331,4.528530219,4.134322284,4.029026457,4.003661131,3.971405203,4.61495365,5.191495066,4.757206872,4.067194764,5.006909221,4.900754473,4.542922374,5.013661598,4.768103474,4.932186688,5.298613084,4.357537236,5.058062111,5.004820678,4.895231145,5.140886194,4.047446919,5.002453548,4.299350351,5.224763835,4.8057835,4.978571461,5.126014402,4.379289012,4.844454278,4.884621563,5.011921284,4.915287473,4.558610473,4.881950649,4.853565095,5.308317517,5.067053049,5.016416852,4.221449898,5.140786972,5.1854324,5.090294178,4.649774664,4.299077673,4.640498132,4.606133836,4.506281357,5.129208206,4.111863631,4.61252922,4.86496263,4.218182599,5.072728559,4.890597757,4.437957567,5.23477622,4.246910339,4.384061989,4.191097426,3.967030725,4.984534766,4.857112719,4.313823986,5.219460362,3.797817,4.336509918,4.428337363,5.129777967,4.735648498,4.923086552,4.19905339,4.627703011,5.051168509,5.409513943,5.084326903,4.498462715,5.206452161,4.587932849,5.013153948,5.452265097,4.778544147,4.609277623,4.192501783,4.855959904,5.004499904,4.589554591,4.655816772
"17",5.415122343,5.947219599,5.116495945,5.920574664,5.348922989,5.870279116,5.338446905,5.643156127,5.185253178,5.592256641,5.825299046,5.202615241,4.987340811,6.045009528,5.511554293,5.872980959,5.634579225,5.06801683,5.403268919,5.052619948,5.397372112,6.004741753,5.813032921,5.135689761,5.594828713,5.003081293,5.103209445,5.718299624,5.158093516,5.482766743,5.854258773,5.276966748,5.814329412,4.989297014,5.615476933,5.754430516,5.419381966,4.910271752,5.550494891,5.322992554,5.28650062,5.62615417,5.636703029,5.862392651,4.955218216,5.495824192,5.669677936,4.987623223,4.979023077,5.030589458,5.028402763,5.390191012,5.998655358,5.487920257,5.081681098,5.689168923,5.971632933,5.237080659,6.078132488,5.372571345,5.449055703,6.069131238,5.844983231,5.655137991,5.740166631,5.977561329,5.96384093,4.925060306,5.919827072,4.745585538,6.097262327,5.411876869,5.820426527,6.134717278,4.858778814,5.556724236,5.674684687,5.675690998,5.911079317,5.251318148,5.786152157,5.574066088,5.803642805,5.75935806,5.883617969,5.08646822,5.939778421,5.774773341,5.668152292,5.606233238,5.172476622,5.732309158,5.326363523,5.59411153,6.133404123,5.267084685,5.355783034,5.598598286,5.138270497,6.304512031,5.740967518,5.168737964,6.014251365,5.161703585,5.280401801,5.660310066,4.998490651,5.72508025,5.687825776,5.092103054,5.728274855,4.874064836,4.982646534,5.148663821,5.835118594,5.434573575,5.707487489,5.255799791,5.680663193,5.929079606,5.44568368,5.987029702,5.197752621,5.85151696,5.299496401,5.668470382,5.968663311,5.656010983,5.807217001,4.888658991,5.83126166,5.78466792,5.449846064,5.645747514
"150",2.04229335,0.107505092,2.443095479,0.813580918,0.75934386,1.827929343,1.555070846,0.533636365,2.594604051,0.897457179,1.128405487,2.17113701,2.715023165,1.44014747,1.435743772,2.4311434,1.824104961,2.478842078,2.063524311,2.529393463,0.933054965,0.831385846,1.503595771,2.701562889,1.324369633,2.691946478,2.686254743,1.457620935,2.310402557,1.558751969,0.988178416,1.67648634,1.237980041,2.636507956,1.236896296,0.543559964,2.557074007,2.623628719,1.844961805,1.421826947,2.835250064,2.002891915,1.424057152,1.21231123,3.089422642,1.341597877,1.698702957,2.565213735,2.379212812,2.671240662,2.478205681,1.201586904,-0.102104306,2.180021722,2.764984903,1.250495865,1.467501507,3.077487022,1.379564375,1.927486098,1.723035615,1.598173366,1.705011452,1.728816866,1.676809531,1.603082712,1.373423999,2.507927389,0.967108932,2.594891181,0.304817086,1.293256835,0.919360731,0.252074229,2.951356937,1.426166941,1.062292426,1.758033971,0.299176274,1.37114489,1.790452295,1.620904338,1.794571815,2.680892627,1.984654289,2.93754141,0.741782654,1.304615316,0.285973316,1.64195516,2.219243499,1.47417987,1.744840106,0.952212864,0.978760579,2.554646121,3.224986613,0.674098291,3.045543213,-0.056554458,1.273213779,2.382916204,0.812244184,2.321842894,2.508023018,1.514987037,1.938766873,1.481436912,0.688645722,3.145912516,1.012215767,2.315718191,2.718570095,2.617328505,2.028314845,2.115440499,2.10767186,2.653085021,2.944100642,0.357402796,1.612297468,1.032833392,1.854191421,1.299561565,2.076842456,1.865356605,2.073076946,1.650716683,1.621350455,2.679818191,1.112917827,1.558377374,1.540843176,-0.158243174
"241",6.563774496,6.821007718,6.18130424,6.710467062,6.402460017,6.754904185,6.49085293,7.023197649,6.178996655,6.708913317,7.05511154,6.139731205,6.143334184,7.096316921,6.748704277,6.592647234,6.569244486,6.427858149,6.534165137,6.062650313,6.557400331,6.944681519,7.075021517,6.049275009,6.511050863,6.261141663,6.058258401,6.877403477,6.080303474,6.859531365,6.998720793,6.449210142,7.021479459,6.336947674,6.703000665,7.031619181,6.508186074,6.165180146,6.408344388,6.342459855,6.331850635,6.663014178,6.734707179,6.809407487,5.942840741,6.57216423,6.839715266,5.951135055,6.04086807,6.185155521,6.100072867,6.645962762,6.798091637,6.543991587,6.207703277,6.817311019,7.02276483,6.199566974,6.958096083,6.684552898,7.01187487,7.110003519,7.014534526,6.569834761,6.975694979,7.126307393,7.015705481,5.938606838,7.265080552,5.996080204,7.214255649,6.547822827,6.746118724,6.891735857,6.319561903,6.664276157,7.130799002,6.932005806,6.873364303,6.679442167,6.890655728,6.643765296,6.703666681,7.093178466,6.943941721,6.142967588,6.972476801,6.789753729,7.45530886,6.529904192,6.134071914,7.128695223,6.465743927,6.474179212,7.084398202,6.167504089,6.606326496,6.744713587,5.838857196,6.972456629,6.721273753,6.233137776,7.302315075,6.218073132,6.043926964,6.869475994,6.076624186,6.840969961,6.811544291,6.137588525,6.726720506,6.146156726,6.052953188,6.280518149,6.691787331,6.441550995,6.856259374,6.320166142,6.715903615,6.91260543,6.687225956,6.801940844,6.361415668,6.735380627,6.564947655,6.958041353,6.858397828,6.700244954,6.786815809,6.241301082,6.840131078,6.975803725,6.457739728,6.926911724
"278",5.514709312,5.978203036,5.147356909,5.639664295,5.469708792,5.794684087,5.460316407,5.456468504,5.079298112,5.446251172,5.782050994,5.166583523,4.798895722,5.551655785,5.460954335,5.46676731,5.299347094,5.170820218,4.990197518,4.92354661,5.467807889,5.438504761,5.884815485,5.106215906,5.531999803,5.114246349,4.963289828,5.647683582,4.97915224,5.799863588,5.58170293,5.319901945,5.712058436,4.949047546,5.70575839,5.706912312,5.420763857,5.333718607,5.201299931,5.268434451,5.168180653,5.57167093,5.541806689,5.834165108,4.949406748,5.569666921,5.49354724,4.990561503,5.104690727,5.125877677,5.124484533,5.378421851,5.698555963,5.443379276,5.107652907,5.607042157,5.745159335,5.300824543,5.926892193,5.22466753,5.492348127,6.022463179,5.368496448,5.558700817,5.804349811,5.851010225,5.841177739,5.006475138,5.73382187,5.017849196,6.155998249,5.149698408,5.695233258,5.786722265,5.295432101,5.656769306,5.529806391,5.810754651,5.530740341,5.412728694,5.739468366,5.862066564,5.627229604,5.874087408,5.616603713,5.220120837,5.809446553,5.694880541,5.553861571,5.435805818,4.962661895,5.623241895,5.243698808,5.523869108,6.017111988,5.041544335,5.454511756,5.816339734,4.993679431,6.156792824,5.599071141,4.885416544,5.781139501,5.1666401,4.877535474,5.789086607,5.101755827,5.407168942,5.548434606,5.063627885,5.666919339,4.998146501,5.180274271,5.372532145,5.708434579,5.247645834,5.438061533,5.042651833,5.475699917,5.962660059,5.50020496,5.633092079,5.24403551,5.543143608,5.150888807,5.553582959,5.626617273,5.297963462,5.753378849,5.188525588,5.832684436,5.570169352,5.529902314,5.774549285
"301",5.456084891,6.366166613,5.009700711,6.506557819,5.684612985,6.050080974,5.604314365,6.137086093,5.421363369,5.955723473,6.276855024,5.240660114,5.316820104,6.17453452,5.666698207,6.215747089,6.020502174,5.117627278,5.332415763,5.273669703,5.587210033,6.013851144,5.919410375,5.023490984,6.345699909,5.398576554,5.276324134,5.955256384,5.34172232,5.896739915,6.109024596,5.48933725,6.13601066,5.323084193,5.964410415,5.765718163,5.513052923,4.976212842,5.884826266,5.426283839,5.662193815,5.932325079,5.884563404,6.05949558,5.33317206,6.016592579,5.630739201,5.016740155,5.143283636,5.200742464,5.036658551,5.417284673,6.466625955,5.771433473,5.000836697,5.894352055,5.93627099,5.399415117,6.196727699,5.425650111,5.691233555,6.546884137,5.865020984,6.16019052,6.200371487,6.363704304,6.375881045,4.912441902,6.032172389,5.101781954,6.724458119,5.382468398,6.027655404,6.503060245,5.16747304,5.927573253,5.8039109,6.158049892,6.129653754,5.419144247,6.182769717,5.934795114,6.038313556,6.217147741,6.32132897,5.201384274,6.171316974,5.906524661,5.476959933,6.010176907,5.175043696,6.26815756,5.61273657,5.980212545,6.660907623,5.435471557,5.660125318,5.709259131,5.119034278,6.488796187,6.136611658,4.969658711,6.223519765,5.176462742,5.337422945,6.065566544,4.988497918,6.020814198,5.787634817,5.279844671,6.257992679,5.213270922,5.112078352,5.118824183,6.051750486,5.538888547,6.109438786,5.311704563,5.781085414,6.272923697,5.889698837,6.184941328,5.514148824,6.269626359,5.596259192,5.919895881,6.412144788,5.83471687,5.982806915,5.010781984,6.125161423,5.72424872,5.71340806,5.670238295
"341",6.381257449,7.247609413,5.878816026,6.951384306,6.459072015,6.540247412,6.301714354,6.099871657,5.735367203,6.472366015,7.159248687,5.994852122,5.863720531,7.136618286,6.638516435,6.637994971,6.403592331,5.680292519,6.157000478,5.973312082,6.35430339,6.505426748,6.668444917,5.862701657,6.51031026,5.974819064,5.806211285,6.540475341,6.049294129,6.738809554,6.699336152,6.195252098,6.760901796,5.825370753,6.676453279,6.721840015,6.294165266,5.791400443,6.073559376,6.441775421,6.059367166,6.404913601,6.969559721,6.756910232,5.883124196,6.153629286,6.473417623,5.791823332,6.002627641,6.049954783,5.80618282,6.249215767,7.011444947,6.135718495,5.854366478,6.464398563,6.777889572,6.335826139,6.969583646,6.270362015,6.072106787,7.243725846,6.51024736,6.439564939,6.905899125,6.765663539,7.159545087,5.803900943,6.30327895,5.743058188,7.114901801,6.246493269,6.333778808,7.177078236,5.659745408,6.534044594,6.634023768,6.952514177,7.059777427,6.108275922,6.894655809,6.731750107,7.020387282,6.976185595,6.985271749,5.878950946,6.943129631,6.503555068,6.671201314,6.778389096,5.773197129,6.760413134,6.401826717,6.398805556,7.143840834,6.251275903,6.337516546,6.419109114,5.967031185,6.852738628,6.822210782,5.936367732,7.106719066,5.858048387,5.948481935,6.15381641,5.845657469,6.760573345,6.767985041,5.89340329,6.381669082,5.675311906,5.666565894,6.013299864,6.497183873,6.358460882,6.342637962,5.928943467,6.306558776,7.292390998,6.2287382,6.598798902,5.981397123,6.570090508,6.166027404,6.434587985,6.865526034,6.701269595,5.970275283,5.782748887,6.868845859,6.387939961,6.089008771,6.486240138
"352",5.777863399,6.439632386,5.62183759,6.48462569,6.07106307,6.158594961,5.888665829,6.082366548,5.394123543,5.832643585,6.528739927,5.429871278,5.595943181,6.416336508,6.206979268,6.084312634,5.894320794,5.565808551,5.930016806,5.650497539,5.93507225,6.062949914,6.413247506,5.430226886,6.019093642,5.436508749,5.550361841,6.282867109,5.325466429,6.023069116,6.13585061,5.835972558,6.340089659,5.654911163,6.305447332,6.402897088,6.028338522,5.5221033,5.679305709,5.782511085,5.717542079,5.91884185,6.203265195,6.513622033,5.517284181,6.032638897,6.230512835,5.440757486,5.586243967,5.583037197,5.395565223,5.981326522,6.504403725,5.705605675,5.337929428,6.215290534,6.562869546,5.673437352,6.458899335,5.729925529,5.986186513,6.483211726,6.240553151,5.916294761,6.471774472,6.440591963,6.452375341,5.475410593,6.226441209,5.378559533,6.689306519,5.858879135,6.071116088,6.452063128,5.534990377,6.136298779,6.141627386,6.454102829,6.332074754,5.883151358,6.279758709,6.332399245,6.342103148,6.480687558,6.277637687,5.427812209,6.387748562,6.280869505,6.341893688,6.197877988,5.428427931,6.220637577,5.985517881,6.003997855,6.348395528,5.6628121,6.077067006,6.079015751,5.172262267,6.595932037,6.140211647,5.516771951,6.592770933,5.651714878,5.652772836,6.213012203,5.444621256,6.118776117,6.276338015,5.597089134,6.273689813,5.498000399,5.29935692,5.561854315,6.226674527,5.84142787,6.082105196,5.540610292,6.086906517,6.489156887,6.174689557,6.123253586,5.703197054,6.226916263,5.894102098,6.098647956,6.431486932,6.156458196,6.25491083,5.476342019,6.277106459,6.29151256,5.898008451,6.239291958
"372",0.985390959,0.027334743,2.970545522,0.210916416,1.146366983,0.371864575,0.51759614,-3.858681058,3.126170295,1.055719263,1.128405487,1.962819774,3.083601353,-0.144815031,0.542658976,0.109215305,0.404201706,2.003504069,-0.051952907,2.895388339,0.699855789,-0.210434329,1.083020088,2.603715565,0.811721337,3.012081291,1.775522081,-1.216978778,3.103528042,1.682487338,-0.378603915,1.272419959,0.378157699,2.981643442,0.969548897,0.188465006,1.078667608,2.951354658,0.956607161,1.450115991,1.010533981,0.991487152,1.165745157,1.047251984,3.013473788,1.140900527,0.235302436,2.938257145,2.730685183,2.867829328,1.992778853,0.071190267,-0.213135619,1.618142834,2.234470187,0.513530271,0.245109086,3.297987384,0.113284309,0.994600294,1.015589108,0.173675538,-1.025381489,1.203725821,0.170918601,-0.543758677,-0.707495996,3.513508421,0.416093764,2.973977698,-0.491649519,1.48775986,0.342303428,-0.454194568,3.199703899,1.130034847,-0.658553503,1.063660254,-0.923216148,0.906741314,-0.279937033,1.083247552,0.235840856,-0.56118216,-0.298279674,2.924544069,-0.708878755,0.523928344,0.72207243,1.205856045,1.697545892,0.55303529,0.315996808,0.427121819,-0.178780698,3.028247513,0.903058518,-0.114397604,3.124832123,0.428872369,1.374497114,3.027199796,0.98471138,2.390967254,2.98850487,0.691864799,2.659029588,0.541143158,1.057033128,2.539666457,0.641847317,2.878797574,3.300750155,3.03023026,0.503788198,1.24870703,0.683174031,2.867209826,0.745687084,0.922999972,1.297424131,-0.486540768,1.002036889,0.562595971,0.721577177,0.719926166,0.415964659,1.123968796,0.773353549,2.618089202,-0.024585697,0.543730598,1.508781967,0.603597089
"404",3.983316631,5.015694828,3.953184361,4.913409792,4.569338664,4.767700768,4.421108058,4.296137051,4.045932371,4.703317854,4.530918677,4.099686486,3.634949573,4.684454667,4.549797511,4.708419729,4.440301047,4.243383917,4.115915508,4.061983787,4.209040442,4.653387544,5.036500243,3.818858248,4.298864637,3.911776385,4.055290502,4.845793871,4.168763258,4.839176512,5.011904486,4.132911299,4.951945125,3.745371431,4.467723312,4.874639758,4.285468611,4.044705134,4.105921882,4.543334819,3.919053821,4.408669923,4.803932596,4.576505052,3.686663472,4.507353237,4.589652009,3.86649752,4.1794433,3.943895986,3.936534743,4.121480165,4.687972624,3.940070929,4.002221906,4.526354311,4.583588357,4.210169505,4.75088829,4.233625307,4.839802681,4.95641516,4.98482871,4.536171788,4.796189091,4.84692211,4.660842564,3.849846959,4.889185932,3.740526403,5.165809972,4.309892837,4.497702316,4.943536351,3.813454823,4.813518111,4.491946,4.869140328,4.840549506,4.001704257,4.929516332,4.717765878,4.857694734,4.790946172,5.001844051,4.040523355,4.431354562,5.001738492,4.860288572,4.839492393,4.008001203,4.876497351,4.212988942,4.411644482,4.988058324,3.958303392,4.450740002,4.550292089,3.991565592,5.121363334,4.842793247,3.833577613,4.983440843,4.223413157,3.991597465,4.248812924,3.936169762,4.984534766,4.83950076,3.906823806,4.510707506,3.961434723,3.488513012,3.834834571,4.617129671,4.35304369,4.562811018,3.834869106,4.428951658,4.835080124,4.490618911,4.653692549,4.10375681,4.773904893,4.29241857,4.49251567,4.843777094,4.747137301,3.94327855,3.833708394,4.968959281,4.47011737,4.117856924,4.642375416
