"","DLDR_0107","DLDR_0085","DLDR_0120","DLDR_0176","DLDR_0117","DLDR_0132","DLDR_0127","DLDR_0135","DLDR_0153","DLDR_0133","DLDR_0121","DLDR_0062","DLDR_0039","DLDR_0139","DLDR_0162","DLDR_0159","DLDR_0164","DLDR_0168","DLDR_0129","DLDR_0158","DLDR_0136","DLDR_0122","DLDR_0079","DLDR_0174","DLDR_0137","DLDR_0116","DLDR_0038","DLDR_0142","DLDR_0043","DLDR_0102","DLDR_0092","DLDR_0140","DLDR_0150","DLDR_0088","DLDR_0151","DLDR_0101","DLDR_0143","DLDR_0095","DLDR_0156","DLDR_0094","DLDR_0046","DLDR_0109","DLDR_0106","DLDR_0110","DLDR_0123","DLDR_0171","DLDR_0105","DLDR_0061","DLDR_0084","DLDR_0175","DLDR_0126","DLDR_0146","DLDR_0145","DLDR_0154","DLDR_0166","DLDR_0089","DLDR_0078","DLDR_0124","DLDR_0042","DLDR_0114","DLDR_0096","DLDR_0115","DLDR_0076","DLDR_0097","DLDR_0155","DLDR_0100","DLDR_0161","DLDR_0074","DLDR_0170","DLDR_0080","DLDR_0040","DLDR_0141","DLDR_0131","DLDR_0108","DLDR_0177","DLDR_0152","DLDR_0181","DLDR_0169","DLDR_0130"
"57",-0.709630851,0.500423033,0.117797831,-1.006647048,-0.671437684,0.664880898,-0.818749855,-2.10425527,-1.367207452,-1.186693434,-0.717788818,-0.292961006,-1.22614363,-1.975969076,-1.769422724,0.009167402,0.036777814,-0.806897503,-0.378603915,-2.054801708,-2.021837973,-0.989872236,-1.138550072,-1.047248567,-2.412179635,-0.067207668,-2.816335004,-3.272029308,0.68525703,0.028103443,0.317258871,-2.105734802,-1.636737438,1.767090795,-1.266897054,0.469383203,-1.303012587,0.018120211,-2.086007619,0.015310469,-0.17737299,-0.378980544,-1.242690463,-0.219549591,-0.769584815,-2.395771365,-0.186250553,-0.539058439,0.205489794,-2.285986257,-1.803687509,-4.261621878,-1.883242175,-0.915329632,-1.954118953,-0.631564524,-0.559678701,-1.542121943,-0.721477898,-1.02353959,-1.071865494,-1.011211608,0.126610496,-0.056554458,-3.580073239,0.161350083,0.189670788,-0.138517681,-1.908349765,0.20934084,-0.912756393,-4.286453393,-4.060127874,0.130130593,-0.65979645,-2.799048232,0.521814782,-0.295887719,-0.289487708
"182",0.389904823,1.56455337,2.268357508,0.919352371,1.371206653,2.072056279,1.231876218,0.328704137,0.507261666,0.794197743,1.423567031,1.822516211,0.749608824,0.560083825,0.615241127,1.090697287,0.637170356,0.918927534,1.748508003,1.237980041,1.251180522,1.860232334,1.844961805,-0.114362763,0.526419821,1.644666945,1.491093521,-0.464674386,1.422222624,1.165606967,1.025796057,1.666854702,0.113284309,2.227508198,0.318065447,1.129896737,1.308422125,1.473314837,0.346951788,0.686687722,1.704571249,2.048190711,0.655429923,1.130034847,1.684591078,0.411583557,0.430420807,1.545475071,0.671153366,-1.549020663,0.155670507,1.846902578,0.042757244,0.428624769,0.282920245,1.690363571,1.205856045,0.975726362,1.297381129,2.08079707,0.875667087,2.254132958,1.980759629,0.428872369,-0.52117955,2.120708098,0.285886103,1.28232544,2.751900863,1.492647641,1.378474905,0.922999972,1.297424131,2.176424245,0.562595971,1.188012713,2.504536791,1.149912035,1.761138366
"209",7.385138067,7.168125965,6.901778245,7.413172715,6.95704431,7.607395403,7.20441043,7.379157464,7.318125373,7.14540202,7.618126917,7.069647022,7.088854936,7.520285534,7.206902721,7.352947047,7.691991129,7.16994197,7.70857974,7.309332947,7.280746556,7.531004867,6.750193177,7.60282403,7.431741417,7.357610195,6.984241386,7.426964679,7.402829606,6.993887728,7.340979423,6.676717448,7.657256643,6.991709076,7.554649176,7.195985927,7.537940134,7.114792864,7.46973186,7.355490269,7.463388394,6.824929572,7.476231542,7.149590388,7.572934375,7.40803687,7.089873852,7.158268667,7.435681826,7.339113725,7.382013884,7.428812678,7.70958857,7.426916022,7.233939978,7.386481066,7.139373143,7.362307415,7.113741459,6.853795675,7.329623575,6.989221829,7.216519274,7.020261139,7.612425073,7.209382779,7.631184032,7.252414,7.378702946,7.110549289,7.311753094,7.616298551,7.459016914,7.063436375,7.274221978,7.63453721,7.108922554,7.553274688,7.205796294
"232",7.499590402,6.92821203,6.503918988,7.785384019,7.079972476,7.228118628,7.358076298,7.723881214,7.831646806,7.330457912,7.595894523,7.348050709,6.86167277,7.423629293,7.417379332,7.828603893,7.671530324,7.620979382,8.08405979,7.636243846,7.79308776,6.98046075,7.2789189,7.671050782,7.915373009,6.972278678,7.378175636,8.108251364,7.816100561,7.305468343,6.906978519,6.744972958,8.007610496,6.479579009,7.67268216,7.615520712,6.766064169,7.414586889,7.597337942,7.833833473,7.05720497,7.222740061,7.740562286,7.309817987,7.672861114,7.07305629,7.564623886,7.092055881,7.089878391,7.755216562,7.684822145,7.737321073,7.56755668,7.542524753,7.585870665,6.621626384,7.158682925,7.710758481,7.556360068,6.784244642,6.799379723,6.899834617,7.213257102,7.020261139,7.339038375,6.26522068,7.689516675,7.578605922,7.682237285,7.429970133,7.462054312,7.817817736,7.887874257,7.113867761,7.88323537,7.75266003,6.249735237,7.85403456,6.998993904
"235",6.51781319,6.855306838,6.46475472,7.397359105,6.898114167,6.762455055,7.336550277,7.652968041,7.334387808,6.892650989,7.000089169,6.868132694,7.207094048,6.413769803,6.655443393,7.104748422,7.155049112,7.291539547,7.841328812,6.936720138,6.696164778,6.813749089,6.219801431,7.524331722,7.170903133,6.498452532,7.115288964,7.643103141,6.892936953,6.448765492,6.208227472,6.387453505,7.248958936,7.345938733,7.097550313,6.462823831,6.603209939,6.174407211,6.770106615,6.807799531,7.048970387,6.752806911,6.992671073,6.696233432,7.619809909,6.982306691,6.89767193,6.492084222,7.316501228,7.24604492,7.206607472,7.490340535,8.155402512,7.001238877,7.635398444,6.771210701,7.256665004,6.147558429,7.786942414,7.117034588,6.790550473,6.359140483,6.241554073,6.406152293,7.886683018,6.123282042,7.235948076,6.665925645,8.316857672,6.691178342,6.765241359,7.567246027,6.87134836,6.920018578,7.714760071,8.378282314,6.147697538,7.273706034,6.70027846
"250",3.998714065,4.44187085,4.149898674,3.675176992,4.719505089,4.202014874,4.048675986,3.335367868,3.918194766,4.321935375,4.06202708,4.429173783,4.286925952,2.841654182,4.325094875,3.557317237,3.354044532,3.114714598,3.237654716,3.640078485,2.605435333,4.634105489,2.917718147,4.066967002,2.689358392,4.851244369,4.761093824,3.548149655,3.712325273,3.301121938,4.18611906,4.070853929,3.334283495,3.828152321,3.201872429,3.868333718,3.163687032,4.221270836,3.79663543,4.709571612,4.613696849,4.7187669,3.137081706,4.267123267,3.671367383,3.704365306,4.06167696,5.004906689,3.070560214,3.348219763,3.201313172,3.732731558,2.364685339,3.728526557,2.80076855,2.827867094,3.458243207,4.018037167,4.941986577,3.794083668,3.555407812,5.193735679,4.265374566,4.308017975,4.032180954,4.88016833,3.745317722,3.678775478,3.459220995,3.199096808,4.868603321,3.275789031,4.266301613,3.420349828,3.670124435,3.571016384,5.002941472,3.630766132,3.979972967
"275",1.006576183,2.25044478,2.462626328,0.814382811,1.903874647,2.023961991,1.530399708,0.528012946,1.135292888,2.016590164,1.027638355,2.450547434,1.581211292,0.345959019,1.855068141,2.233954338,1.652437112,1.902053715,1.304205909,1.456160211,0.504707842,1.901751603,2.031374929,1.515687628,0.646714054,2.458515629,1.236776333,0.815433534,1.79061003,1.902572561,1.902221372,2.375391887,1.533187564,2.973903205,1.480336876,2.570469328,1.409705461,1.130013091,0.721347303,0.617974972,1.912512514,2.858649317,1.275157842,2.831878648,1.380974861,0.897010384,1.7895019,1.700992648,1.541092826,1.083247552,1.401426921,1.02378034,1.286682827,1.492755106,1.777684937,1.926430929,2.162787323,2.117387511,2.306718994,2.776928947,0.64434154,1.265628597,2.901904209,1.708980289,1.374123072,2.546013933,1.671539796,2.220168964,1.474119872,2.520339375,1.525816621,1.644283944,2.048396583,1.756315756,2.278803005,0.502121303,3.530376795,1.255522222,1.467941989
"284",5.675307042,5.376381769,5.237154008,5.354419441,5.463604602,5.12145852,5.332931172,5.686256142,5.519505261,5.421026218,5.393193382,5.489987579,5.48626873,5.811933484,5.347210037,5.678958886,5.46520553,5.61030588,5.586572791,5.63868525,5.507313665,5.727263008,5.242796233,5.88026006,5.641293779,5.109610299,5.250830423,5.818083112,5.593604158,5.173780899,5.300669631,5.040621728,5.838258984,4.907795658,5.788385382,5.168031866,5.626410222,5.604051939,5.648702001,5.655957103,5.305290935,5.433240134,5.397225729,5.360556981,5.213180647,5.654077184,5.584578493,5.067506316,5.369678426,5.519220198,5.773741319,5.514811154,5.762055989,5.535247188,5.629769715,4.936602734,5.557185056,5.282692189,5.351395138,5.016476089,5.998830497,4.882673278,5.184393992,5.510260696,5.626941082,5.105167247,5.679311161,5.311363145,5.67768577,5.531949291,5.62966459,5.463416034,5.537924626,5.182107884,5.719100457,5.946746122,5.19289244,5.515902175,5.03415686
"297",7.68901106,9.009298209,8.4184707,7.462316333,7.892788036,8.247554704,7.622415828,8.322219164,7.566483203,7.451647205,7.827516395,8.23498983,8.125973382,7.785914537,7.39408719,7.702005884,7.598527683,7.517456164,7.848441956,7.59445447,7.190976834,8.158938807,7.481169714,7.517420595,7.592040832,8.884478995,7.804068126,7.96697245,8.056340618,7.58218061,8.7308868,7.318431486,7.669738581,8.391838162,7.731894827,8.058943746,7.773506128,8.616472929,7.81998101,8.724075052,8.340240163,8.595434046,8.19553433,8.046178868,7.78485055,6.895629594,8.344870939,8.115577589,7.809998899,7.462765668,7.270453954,7.434911036,8.015510352,8.541735489,7.898744914,7.797958456,8.190525808,7.960800247,8.07105556,8.776605339,8.276546523,7.819973812,9.082819089,8.950753189,7.940709115,8.538801645,7.703194205,7.976903599,8.085801599,8.967438319,8.130918501,7.851498341,7.556880354,8.64874099,8.380036505,7.374271979,9.384673497,7.680404802,7.439404586
"324",-0.709630851,2.114240396,2.013100452,-0.269681454,1.844577463,1.813744284,1.055719263,1.00008139,0.507261666,0.293299507,-0.281689703,1.037684306,0.539391116,-0.391006575,0.346054494,1.090697287,0.440133509,0.621945796,0.731020576,1.049534952,0.880465353,0.870724708,1.379298232,-0.419217344,0.526419821,2.574657224,0.884104714,1.025651241,1.255572755,1.613065944,2.198111606,3.228165934,0.330095698,2.405295317,1.352012779,0.270074395,1.308422125,1.982787138,0.235920476,2.791804428,0.474703707,3.266434474,1.447625038,1.8596771,0.01282375,-0.469771946,1.333123606,0.384320279,0.767368682,0.652613198,-0.581295087,-0.174159037,0.652810726,-1.445844349,1.347050582,0.590827897,1.025283799,1.917309676,1.007874512,3.162326955,1.848700039,2.299575929,2.040880622,3.504160497,0.261229015,2.772784795,0.946399637,0.264838013,1.117185327,2.487044934,0.511741436,0.468434109,0.797853121,2.114363277,0.562595971,1.107842364,2.699352967,0.46084113,0.527648235
